,Unnamed: 0,name,norad_id,mjd_t,jd_t,x_j2000_tle,y_j2000_tle,z_j2000_tle
3067,3067,technosat,42829,59548.38119699061,2459548.8811969906,-6742.998930155544,-1756.0619784607866,14.17175048464807
3068,3068,technosat,42829,59548.85084116878,2459549.350841169,-6729.403321143588,-1808.228202741493,14.154897907465392
3069,3069,technosat,42829,59548.85084116878,2459549.350841169,-6729.403321143588,-1808.228202741493,14.154897907465392
3070,3070,technosat,42829,59549.05211726856,2459549.552117269,-6723.454597312966,-1830.5574579949675,14.131736728804466
3071,3071,technosat,42829,59549.58885305561,2459550.088853056,-6707.227031466508,-1890.0046982834704,14.103873851090656
3072,3072,technosat,42829,59549.58885305561,2459550.088853056,-6707.227031466508,-1890.0046982834704,14.103873851090656
3073,3073,technosat,42829,59549.85722092586,2459550.357220926,-6698.917524829319,-1919.681850354539,14.086320895032856
3074,3074,technosat,42829,59550.05849680537,2459550.5584968054,-6692.601480143123,-1941.910103817509,14.072962747969973
3075,3075,technosat,42829,59550.32686461788,2459550.826864618,-6684.065455664574,-1971.5114794090107,14.052959928168525
3076,3076,technosat,42829,59550.59523247695,2459551.095232477,-6675.398460547035,-2001.0880115214952,14.032792747743596
3077,3077,technosat,42829,59550.59523247695,2459551.095232477,-6675.398460547035,-2001.0880115214952,14.032792747743596
3078,3078,technosat,42829,59550.86360027781,2459551.363600278,-6666.6071439507205,-2030.614065470114,14.02462273769901
3079,3079,technosat,42829,59551.13196804421,2459551.631968044,-6657.680601215449,-2060.1134788197637,14.011238997563243
3080,3080,technosat,42829,59551.40033587953,2459551.9003358795,-6648.627205775233,-2089.563715012184,13.985515476314308
3081,3081,technosat,42829,59551.53451973386,2459552.034519734,-6644.049574531695,-2104.279141186812,13.97647494375309
3082,3082,technosat,42829,59551.53451973386,2459552.034519734,-6644.049574531695,-2104.279141186812,13.97647494375309
3083,3083,technosat,42829,59551.86997921299,2459552.369979213,-6632.471264863787,-2141.019608313697,13.956086927312173
3084,3084,technosat,42829,59552.13834684016,2459552.63834684,-6623.06401503389,-2170.359786174563,13.934120619918572
3085,3085,technosat,42829,59552.20543883089,2459552.705438831,-6620.690715595251,-2177.6970616517847,13.93255752146836
3086,3086,technosat,42829,59552.40671453718,2459552.906714537,-6613.525821160021,-2199.6694049969437,13.924078622703686
3087,3087,technosat,42829,59552.876357777975,2459553.376357778,-6596.535059281855,-2250.849134165657,13.877472073907976
3088,3088,technosat,42829,59552.876357777975,2459553.376357778,-6596.535059281855,-2250.849134165657,13.877472073907976
3089,3089,technosat,42829,59553.14472552063,2459553.6447255206,-6586.647948665572,-2280.044686420094,13.866803637683416
3090,3090,technosat,42829,59553.346001134254,2459553.8460011343,-6579.146754093684,-2301.908591615256,13.840340177893331
3091,3091,technosat,42829,59553.61436862266,2459554.1143686227,-6569.033102174534,-2331.014958180029,13.827079905139922
3092,3092,technosat,42829,59553.88273604168,2459554.3827360417,-6558.795818351412,-2360.0795703634108,13.807565464102598
3093,3093,technosat,42829,59553.88273604168,2459554.3827360417,-6558.795818351412,-2360.0795703634108,13.807565464102598
3094,3094,technosat,42829,59554.15110337967,2459554.65110338,-6548.426786774917,-2389.109456948021,13.799116901007483
3095,3095,technosat,42829,59554.486562604085,2459554.986562604,-6535.286538933644,-2425.330003680899,13.765307556163384
3096,3096,technosat,42829,59554.486562604085,2459554.986562604,-6535.286538933644,-2425.330003680899,13.765307556163384
3097,3097,technosat,42829,59554.687838148326,2459555.1878381483,-6527.308302974639,-2447.0256574179984,13.746579096506858
3098,3098,technosat,42829,59554.687838148326,2459555.1878381483,-6527.308302974639,-2447.0256574179984,13.746579096506858
3099,3099,technosat,42829,59555.15748076374,2459555.657480764,-6508.414038865446,-2497.5415764468976,13.709856240847667
3100,3100,technosat,42829,59555.49293971062,2459555.9929397106,-6494.677844043992,-2533.5429388161165,13.678886581995778
3101,3101,technosat,42829,59555.49293971062,2459555.9929397106,-6494.677844043992,-2533.5429388161165,13.678886581995778
3102,3102,technosat,42829,59556.49931608792,2459556.999316088,-6452.291602437912,-2641.079076294445,13.607809194673484
3103,3103,technosat,42829,59556.56640777784,2459557.066407778,-6449.403902499765,-2648.219832091374,13.600500352891968
3104,3104,technosat,42829,59556.63349946775,2459557.133499468,-6446.511591551902,-2655.359574579691,13.58757089483178
3105,3105,technosat,42829,59556.90186643507,2459557.401866435,-6434.840477090575,-2683.8996006274047,13.564752826355225
3106,3106,technosat,42829,59557.17023325246,2459557.6702332525,-6423.051026997406,-2712.3788066692027,13.539492602899132
3107,3107,technosat,42829,59557.50569174765,2459558.005691748,-6408.133387551182,-2747.912119438296,13.515875269816542
3108,3108,technosat,42829,59557.84115017345,2459558.341150173,-6393.027240778683,-2783.355446664721,13.478935268327504
3109,3109,technosat,42829,59558.37788358797,2459558.877883588,-6368.443566338761,-2839.8932272343936,13.425084048831328
3110,3110,technosat,42829,59558.57915854175,2459559.0791585417,-6359.096475334459,-2861.041748613779,13.412279753567155
3111,3111,technosat,42829,59558.57915854175,2459559.0791585417,-6359.096475334459,-2861.041748613779,13.412279753567155
3112,3112,technosat,42829,59558.847525184974,2459559.347525185,-6346.527402958032,-2889.1900276270744,13.38610252597574
3113,3113,technosat,42829,59559.11589179421,2459559.615891794,-6333.827466435811,-2917.2930286683973,13.363624572621596
3114,3114,technosat,42829,59559.51844168967,2459560.0184416897,-6314.553632288321,-2959.3209882753376,13.32369486665132
3115,3115,technosat,42829,59559.51844168967,2459560.0184416897,-6314.553632288321,-2959.3209882753376,13.32369486665132
