,name,norad_id,mjd_t,jd_t,x_j2000_tle,y_j2000_tle,z_j2000_tle,x_j2000_ilrs_Akima,y_j2000_ilrs_Akima,z_j2000_ilrs_Akima
32,glonass-105,32276,58873.21181054413,2458873.711810544,-17750.90592531899,-16295.151813174925,-8418.858310641483,-17752.4232321038,-16295.53403981848,-8419.487113332802
33,glonass-105,32276,58873.41862863442,2458873.9186286344,21231.454305862062,14097.794936204486,-4.90294160410225,21230.67752265644,14096.927697536015,-7.027414057585837
34,glonass-105,32276,58874.487015138846,2458874.987015139,-9225.499546826484,6169.696170517498,22986.1248386298,-9225.744813608078,6169.766626868586,22986.24069694161
35,glonass-105,32276,58874.62876243051,2458875.1287624305,-16033.8199432641,-16520.426122728255,-11016.348679952054,-16035.329032111707,-16520.91326044283,-11017.370047549017
36,glonass-105,32276,58875.22129902756,2458875.7212990276,16329.209506956819,365.3265622919618,-19561.550061300088,16328.494081555738,361.28036280941114,-19561.492690458777
37,glonass-105,32276,58875.75885387743,2458876.2588538774,21644.96679263295,13317.533009392148,-1896.9069268425565,21644.53815171081,13315.145116253723,-1896.2494030211146
38,glonass-105,32276,58876.38051965274,2458876.8805196527,-13371.700799268969,2680.759717616338,21581.437503744462,-13374.395821892314,2677.479991156298,21580.704599787063
39,glonass-105,32276,58876.93185060192,2458877.431850602,-21710.252168512285,-13289.532270062922,1990.7644497407248,-21711.816927296044,-13290.85865713105,1985.0402219868654
40,glonass-105,32276,58877.21870248858,2458877.7187024886,14046.594335514468,16473.954531989013,13469.2890716798,14044.708741740249,16472.671613414026,13470.13697303909
41,glonass-105,32276,58877.937117303256,2458878.4371173033,-10593.217768435039,-15979.355942843662,-16834.695686237126,-10594.717080863586,-15980.159488015375,-16835.07293829395
42,glonass-105,32276,58878.41548202559,2458878.9154820256,-8167.514557445768,-15350.315461571383,-18666.918778304418,-8169.712788721737,-15351.439137206107,-18666.82973797293
43,glonass-105,32276,58879.35112861125,2458879.8511286112,-8958.103178725962,-15567.931327611694,-18117.53893251927,-8960.055248386065,-15569.053132776218,-18117.59040691442
44,glonass-105,32276,58879.72137900442,2458880.2213790044,-21752.867162001356,-9106.745381820581,9794.120631367663,-21755.101016059394,-9110.120031175198,9789.58199674126
45,glonass-105,32276,58879.72137900442,2458880.2213790044,-21752.867162001356,-9106.745381820581,9794.120631367663,-21755.101016059394,-9110.120031175198,9789.58199674126
46,glonass-105,32276,58880.09361598361,2458880.5936159836,-2253.7667677870513,10788.442174157266,23014.851964751684,-2258.0753849859593,10785.910103899072,23015.213232066246
47,glonass-105,32276,58880.29625678249,2458880.7962567825,-7150.559812099982,-15019.099206657495,-19339.764372065492,-7150.202712940771,-15019.525945164545,-19341.408600540624
48,glonass-105,32276,58881.37084996514,2458881.870849965,21976.209007202473,10331.981511999542,-7721.743984535523,21975.39140866355,10331.127034085943,-7721.427194070409
49,glonass-105,32276,58881.53935152758,2458882.0393515276,-12640.408095426099,3374.6471453279382,21921.498060912534,-12643.328972954176,3372.629074247275,21920.857074731557
50,glonass-105,32276,58882.07698234962,2458882.5769823496,-22066.09598749752,-10713.82385026638,7093.907979394826,-22068.21178363536,-10716.863513027285,7089.880515475587
51,glonass-105,32276,58882.46619783575,2458882.9661978357,-9669.190750133119,5846.420097847301,22888.85803804323,-9671.625278743964,5844.860395856548,22888.572438552645
52,glonass-105,32276,58883.45178478025,2458883.9517847802,-19512.199139249587,-4329.9723326537205,15892.063305753583,-19515.29133136978,-4333.019679388216,15889.550573148685
53,glonass-105,32276,58884.43524605315,2458884.935246053,-21969.647565926185,-12542.872357414268,3463.009490953881,-21954.820057196586,-12535.035696746943,3459.322388019552
54,glonass-105,32276,58885.14129115734,2458885.6412911573,21846.33965414113,12828.415523558915,-2750.579778559081,21820.901296347736,12812.947456313283,-2748.7178422200404
55,glonass-105,32276,58885.378819988575,2458885.8788199886,-21760.528933938138,-13222.214584694093,1896.9956797366563,-21738.314656747352,-13209.580790986865,1893.0214454847257
56,glonass-105,32276,58886.11566585628,2458886.6156658563,17940.734747522132,16115.982967403717,8258.345474062851,17931.771774689143,16108.21858044888,8254.483490840481
57,glonass-105,32276,58886.326883784495,2458886.8268837845,-21090.278513918267,-14349.227800746361,-1077.442646463612,-21068.318120925425,-14334.87497201653,-1076.553896771804
58,glonass-105,32276,58886.85027626157,2458887.3502762616,-11385.568904195907,-16063.756246710993,-16228.426131727763,-11375.271922381959,-16047.966704407816,-16211.160420211392
59,glonass-105,32276,58887.265363692306,2458887.7653636923,-21101.474669085204,-14333.617744320576,-1067.2222857809782,-21078.4485319981,-14318.17444704158,-1065.8763842209357
60,glonass-105,32276,58887.8011463196,2458888.3011463196,-8117.837147162248,-15265.7063930707,-18758.01094413844,-8117.561941341738,-15262.178013233271,-18752.00622531677
61,glonass-105,32276,58887.96760945581,2458888.467609456,21195.142151200434,14138.078365473271,608.9653452181443,21186.60609803676,14131.145943156274,607.5769448492151
62,glonass-105,32276,58888.67073148163,2458889.1707314816,-21316.433748765943,-14049.847015735731,-318.87083092933227,-21294.378495331894,-14034.983741841941,-317.9119123717445
63,glonass-105,32276,58889.37383321766,2458889.8738332177,21331.16973334789,13943.99197298198,125.9316122901903,21331.188398519054,13941.680405272164,125.24717319389087
64,glonass-105,32276,58889.6919855671,2458890.191985567,-4213.62700276578,-13883.710211843962,-20977.117752008096,-4215.098867773304,-13884.934760943179,-20977.184617051367
65,glonass-105,32276,58890.311271099374,2458890.8112710994,21419.707754128434,13805.399525408959,-211.36854081756243,21419.842808830377,13803.322904480377,-211.47700329613593
66,glonass-105,32276,58890.545586967375,2458891.0455869674,-21496.574362549814,-13773.153705306664,358.2712755640323,-21497.932852728856,-13773.506963706961,359.558731248006
67,glonass-105,32276,58891.10346913198,2458891.603469132,-3142.30673558782,-13428.948699100574,-21454.188048257634,-3146.9026963054707,-13430.901272699823,-21453.103524184502
68,glonass-105,32276,58891.24865591433,2458891.7486559143,21507.42183279871,13658.139686579252,-564.6147325045341,21507.52005578722,13655.566330566127,-565.4473720401407
69,glonass-105,32276,58891.52105540503,2458892.021055405,-16403.85736026369,-16341.688422754549,-10738.5483437992,-16406.115683881628,-16341.855179245835,-10737.482150189258
70,glonass-105,32276,58892.18609917816,2458892.686099178,21586.17587921763,13514.739682636256,-900.1919038888052,21586.338769004782,13511.870320641245,-901.784933095881
71,glonass-105,32276,58892.46529119229,2458892.9652911923,-15227.288316034128,-16385.991312847367,-12287.401409079015,-15231.586016364463,-16386.561747243497,-12284.644364620299
72,glonass-105,32276,58893.41006408585,2458893.910064086,-13838.108297094344,-16327.224385503048,-13898.793028544338,-13840.426835226654,-16327.894184934983,-13898.545350808366
73,glonass-105,32276,58893.64750565961,2458894.1475056596,13096.274363365426,16244.463828568703,14654.199756179936,13096.24218438346,16243.333319109233,14653.515273878516
74,glonass-105,32276,58894.352459328715,2458894.8524593287,-12931.077867693159,-16231.521106528613,-14849.285292073353,-12935.91993784536,-16232.466467922322,-14846.397956533447
75,glonass-105,32276,58894.82315834472,2458895.3231583447,-12586.407551074522,-16184.354335371729,-15192.336268047195,-12589.389744262773,-16184.95877798448,-15191.074759456507
76,glonass-105,32276,58895.29747956013,2458895.79747956,-11326.500556920173,-15979.698578130654,-16352.866419746788,-11317.685322773168,-15962.772484555093,-16333.065232412637
77,glonass-105,32276,58895.767569143325,2458896.2675691433,-11118.445833618192,-15936.739843646325,-16536.096578930155,-11111.891544397398,-15922.447725280343,-16518.617481850764
78,glonass-105,32276,58896.24479832174,2458896.7447983217,-9017.171486031813,-15451.424858171606,-18189.031267550694,-9011.000703571595,-15434.994857312162,-18166.91974130299
79,glonass-105,32276,58896.714358148165,2458897.214358148,-8939.874373373787,-15427.414873435326,-18247.382551609317,-8934.298515125656,-15411.573904819388,-18225.794434764328
80,glonass-105,32276,58897.448943946976,2458897.948943947,-0.6797440974906671,11940.152366708062,22548.49168867646,1.5789834793052329,11935.171913704562,22538.02354689135
81,glonass-105,32276,58897.860622152686,2458898.3606221527,15447.569787232056,16318.178549886286,12043.351858877273,15433.10432713289,16299.448018885549,12027.2957767259
82,glonass-105,32276,58899.25926446775,2458899.7592644677,17284.495225560226,16139.365052246618,9517.063895618057,17278.736570543377,16131.495896194874,9510.723355508684
83,glonass-105,32276,58899.33500293968,2458899.8350029397,-2660.2436726933242,10514.288210767614,23098.185497910777,-2658.6124932690354,10506.966289341492,23083.130273526636
84,glonass-105,32276,58900.43485217588,2458900.934852176,-16906.467696357387,-16209.450437646909,-10145.745835158905,-16909.86494444583,-16209.992017509108,-10143.79873101156
85,glonass-105,32276,58900.9680029396,2458901.4680029396,-233.08641965618108,-12037.229185401942,-22480.461619742015,-235.68881035109763,-12039.505875116543,-22480.428517265886
86,glonass-105,32276,58901.43460587971,2458901.9346058797,-1025.6546311767445,-12420.28977438926,-22249.825266367643,-1026.0957416442698,-12422.81524556677,-22249.81996771451
87,glonass-105,32276,58901.82489100704,2458902.324891007,-19831.79714236176,-15302.273904052383,-4930.867748761035,-19832.11539370476,-15303.656877422569,-4933.768784942974
88,glonass-105,32276,58902.32427420141,2458902.8242742014,-14317.477719321845,-16277.026669476068,-13467.843188580255,-14317.49915411394,-16277.794225129619,-13469.954201340668
89,glonass-105,32276,58902.85707143508,2458903.357071435,3318.611381649073,-10118.457482945354,-23166.868470358997,3316.8039631104657,-10118.76893747455,-23168.159668982546
90,glonass-105,32276,58903.26941516204,2458903.769415162,-12766.947288236117,-16132.805260945637,-15097.568783559207,-12769.023696242206,-16133.735189568057,-15097.53281304669
91,glonass-105,32276,58903.801442916505,2458904.3014429165,5021.839006406769,-9089.884217818237,-23284.21766077412,5019.52576751578,-9091.441900148198,-23285.156589669965
92,glonass-105,32276,58904.03561709495,2458904.535617095,-4980.294663534667,9127.776062157196,23305.976045070838,-4983.033255927861,9125.321564200436,23305.713710941116
93,glonass-105,32276,58904.21401285892,2458904.714012859,-11255.425043175232,-15889.98502460593,-16489.784816869585,-11256.483357787609,-15890.860139325672,-16491.161723560974
94,glonass-105,32276,58904.74645263888,2458905.246452639,6876.274976570752,-7886.1342785213665,-23246.959317025226,6874.023524979031,-7887.731199938955,-23248.296449158777
95,glonass-105,32276,58905.15477731498,2458905.654777315,-10683.661867524354,-15770.241506699087,-16976.92651562378,-10685.364574239366,-15771.06763215184,-16977.368309618272
96,glonass-105,32276,58905.406753935385,2458905.9067539354,5816.482053479777,14388.648654510942,20241.98819571527,5813.213523733926,14386.395760122632,20242.8598632124
97,glonass-105,32276,58906.10076734936,2458906.6007673494,-8692.938315740133,-15286.18684740383,-18484.36404372378,-8694.370420567015,-15287.193846726137,-18485.522597899748
98,glonass-105,32276,58906.346638992894,2458906.846638993,5431.73933246041,14244.713286612692,20450.04536169007,5427.1208021412185,14242.080502575738,20451.817269569317
99,glonass-105,32276,58907.179993541446,2458907.6799935414,22125.781633370705,9981.300278559207,-7749.704644228987,22125.235680364603,9982.027009638941,-7748.003352833004
100,glonass-105,32276,58907.43180172471,2458907.9318017247,-22032.939993009313,-12648.013044115241,2572.545501473929,-22033.583117322207,-12651.002017011582,2564.405503280725
101,glonass-105,32276,58908.45751164341,2458908.9575116434,-5776.802732791389,-14355.445876997243,-20279.533695664864,-5777.110741031358,-14355.909049281749,-20281.106637363628
102,glonass-105,32276,58908.77954252297,2458909.279542523,-17586.806036217535,-1433.5386544352962,18456.132724127772,-17588.879977519657,-1436.805318330066,18454.237985384578
103,glonass-105,32276,58909.17717712978,2458909.67717713,1051.925838669541,12401.816284923181,22270.825708123863,1047.8190899391248,12398.784856245773,22271.28724268576
104,glonass-105,32276,58909.80547065986,2458910.30547066,-19462.921058051223,-15436.258413521566,-5888.934865485097,-19461.502024901456,-15438.645796820303,-5895.085290683563
105,glonass-105,32276,58910.35590251163,2458910.8559025116,502.76669038084054,-11631.046617565615,-22688.19011522566,502.2537122151285,-11629.84762600881,-22690.431993303504
106,glonass-105,32276,58910.6576820137,2458911.1576820137,-17790.400594882667,-1655.0466865042165,18241.554655738742,-17791.637412624204,-1656.0860654541275,18240.25117957532
107,glonass-105,32276,58911.30356719904,2458911.803567199,3212.899172265632,-10163.153459321564,-23162.576284886796,3213.7051202404873,-10162.479246153678,-23164.141769532784
108,glonass-105,32276,58911.57777013909,2458912.077770139,-13978.737529595179,2340.667950570624,21234.756030606542,-13981.388905402662,2335.669820305838,21233.26775138887
109,glonass-105,32276,58912.45607045153,2458912.9560704515,2831.1731611524474,13184.942032874857,21654.63819758786,2829.189616209221,13183.897426779542,21653.795846489487
110,glonass-105,32276,58912.7211294095,2458913.2211294095,6057.060650099203,-8429.841589819212,-23285.277622006888,6057.864822633512,-8429.170946302991,-23286.509484303107
111,glonass-105,32276,58913.191130625084,2458913.691130625,6267.662447207972,-8293.449506152303,-23278.236985297142,6260.274768782843,-8285.316395067404,-23254.94597507514
112,glonass-105,32276,58913.601469919086,2458914.101469919,-10755.578901916611,-15716.491523027758,-16982.211188331417,-10747.382113357171,-15703.792999372692,-16969.11399962363
113,glonass-105,32276,58914.310991388746,2458914.8109913887,9166.693252326444,15342.605366571977,18191.520656900124,9161.32607475549,15333.269699542201,18181.57325297524
114,glonass-105,32276,58914.60576783586,2458915.105767836,8196.842550829439,-6987.879226111028,-23104.314163556064,8190.650680903707,-6984.1656072065425,-23091.64152573397
